0   5.4878e-04
1   1.4014e-03
2   3.3617e-03
3   7.5757e-03
4   1.6038e-02
5   3.1895e-02
6   5.9587e-02
7   1.0458e-01
8   1.7242e-01
9   2.6705e-01
10   3.8856e-01
11  5.3110e-01
12   6.8194e-01
13   8.2258e-01
14   9.3210e-01
15   9.9222e-01
16   9.9222e-01
17   9.3210e-01
18   8.2258e-01
19   6.8194e-01
20   5.3110e-01
21   3.8856e-01
22   2.6705e-01
23   1.7242e-01
24   1.0458e-01
25   5.9587e-02
26   3.1895e-02
27   1.6038e-02
28   7.5757e-03
29   3.3617e-03
30   1.4014e-03
31   5.4878e-04
