0   3.8982e-17
1   5.6462e-02
2   6.7218e-02
3   1.5286e-02
4  -6.0021e-02
5  -9.0820e-02
6  -3.8980e-02
7   6.2878e-02
8   1.2732e-01
9   8.0843e-02
10  -6.4966e-02
11  -1.9980e-01
12  -1.8006e-01
13   6.6239e-02
14   4.7053e-01
15   8.4693e-01
16   1.0000e+00
17   8.4693e-01
18   4.7053e-01
19   6.6239e-02
20  -1.8006e-01
21  -1.9980e-01
22  -6.4966e-02
23   8.0843e-02
24   1.2732e-01
25   6.2878e-02
26  -3.8980e-02
27  -9.0820e-02
28  -6.0021e-02
29   1.5286e-02
30   6.7218e-02
31   5.6462e-02
32   3.8982e-17
